Municipality,MinTimeToNearestStation,FloorPlan,Area,BuildingYear,Structure,Year,Renovation,TradePrice
Chiyoda Ward,4.0,1LDK,30,2013.0,RC,2019,Not yet,40000000
Chiyoda Ward,4.0,2LDK,65,2007.0,RC,2019,Done,100000000
Chiyoda Ward,3.0,1LDK,35,1985.0,SRC,2018,Not yet,24000000
Chiyoda Ward,4.0,1K,20,1982.0,SRC,2018,Not yet,13000000
Chiyoda Ward,3.0,1K,30,1985.0,SRC,2018,Not yet,22000000
Chiyoda Ward,1.0,2LDK,70,1984.0,SRC,2018,Not yet,69000000
Chiyoda Ward,4.0,1LDK,45,1982.0,SRC,2018,Done,45000000
Chiyoda Ward,1.0,2LDK,55,1984.0,SRC,2017,Done,66000000
Chiyoda Ward,5.0,1K,20,2003.0,RC,2017,Not yet,19000000
Chiyoda Ward,5.0,1R,20,2003.0,RC,2017,Not yet,18000000
Chiyoda Ward,1.0,2LDK,55,1984.0,SRC,2017,Done,65000000
Chiyoda Ward,1.0,2LDK,55,1984.0,SRC,2017,Not yet,56000000
Chiyoda Ward,3.0,1K,20,1985.0,SRC,2017,Not yet,15000000
Chiyoda Ward,4.0,3LDK,70,2007.0,RC,2017,Done,93000000
Chiyoda Ward,4.0,3LDK,85,2007.0,RC,2016,Not yet,100000000
Chiyoda Ward,1.0,2LDK,55,1984.0,SRC,2016,Done,66000000
Chiyoda Ward,1.0,2LDK,55,1984.0,SRC,2016,Not yet,51000000
Chiyoda Ward,1.0,3DK,55,1984.0,SRC,2016,Not yet,60000000
Chiyoda Ward,4.0,2LDK,65,2007.0,RC,2016,Not yet,78000000
Chiyoda Ward,4.0,3LDK,70,2007.0,RC,2016,Not yet,99000000
Chiyoda Ward,4.0,1DK,30,1999.0,SRC,2015,Done,32000000
Chiyoda Ward,4.0,2DK,45,1982.0,SRC,2015,Done,37000000
Chiyoda Ward,4.0,1LDK,35,2007.0,RC,2015,Not yet,59000000
Chiyoda Ward,4.0,1LDK,30,2013.0,RC,2015,Not yet,35000000
Chiyoda Ward,5.0,1K,20,2003.0,RC,2014,Not yet,22000000
Chiyoda Ward,4.0,3LDK,80,2007.0,RC,2014,Not yet,96000000
Chiyoda Ward,5.0,3LDK,70,2007.0,RC,2014,Not yet,93000000
Chiyoda Ward,5.0,1K,20,2003.0,RC,2014,Not yet,21000000
Chiyoda Ward,4.0,1K,20,1997.0,SRC,2019,Done,24000000
Chiyoda Ward,4.0,2LDK,65,2003.0,RC,2019,Done,98000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2018,Done,31000000
Chiyoda Ward,4.0,1LDK,55,2003.0,RC,2018,Not yet,62000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2018,Not yet,26000000
Chiyoda Ward,3.0,1K,20,1997.0,SRC,2018,Not yet,19000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2017,Not yet,23000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2017,Done,22000000
Chiyoda Ward,4.0,1K,20,2004.0,SRC,2017,Not yet,23000000
Chiyoda Ward,4.0,1LDK,95,2003.0,RC,2016,Not yet,130000000
Chiyoda Ward,3.0,1K,20,1997.0,SRC,2015,Done,17000000
Chiyoda Ward,4.0,1LDK,50,2003.0,RC,2015,Not yet,53000000
Chiyoda Ward,4.0,2LDK,70,2003.0,RC,2015,Not yet,79000000
Chiyoda Ward,4.0,2LDK,75,2003.0,RC,2014,Not yet,84000000
Chiyoda Ward,4.0,2LDK,70,2003.0,RC,2014,Not yet,78000000
Chiyoda Ward,3.0,1LDK,40,2012.0,RC,2019,Not yet,58000000
Chiyoda Ward,3.0,1LDK,30,2012.0,RC,2017,Not yet,40000000
Chiyoda Ward,3.0,1LDK,40,2012.0,RC,2016,Not yet,53000000
Chiyoda Ward,3.0,1LDK,40,2012.0,RC,2014,Not yet,45000000
Chiyoda Ward,2.0,2LDK,80,2010.0,RC,2019,Not yet,120000000
Chiyoda Ward,1.0,1K,25,2013.0,RC,2019,Not yet,32000000
Chiyoda Ward,1.0,1DK,25,2013.0,RC,2019,Not yet,29000000
Chiyoda Ward,3.0,2LDK,70,2004.0,SRC,2019,Not yet,120000000
